2024/07/31 00:34:33 [error] 13404#15808: *4386 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4387 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4388 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4389 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4390 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4391 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4392 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4393 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4394 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4395 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
